Masse,name,loc
676742,Afghanistan,"[33.0, 65.0]"
313305,Albania,"[41.0, 20.0]"
173391,Algeria,"[28.0, 3.0]"
550680,American Samoa,"[-14.33333333, -170.0]"
154133156,Argentina,"[-34.0, -64.0]"
4425,Armenia,"[40.0, 45.0]"
206295556,Australia,"[-27.0, 133.0]"
8147403,Austria,"[47.33333333, 13.33333333]"
427239,Azerbaijan,"[40.5, 47.5]"
131202,Bangladesh,"[24.0, 90.0]"
2561,Belarus,"[53.0, 28.0]"
683234329,Belgium,"[50.83333333, 4.0]"
223440,Belize,"[17.25, -88.75]"
65208,Bolivia,"[-17.0, -65.0]"
43870,Bosnia and Herzegovina,"[44.0, 18.0]"
1822,Bouvet Island,"[-54.43333333, 3.4]"
282595135,Brazil,"[-10.0, -55.0]"
520,Brunei,"[4.5, 114.66666666]"
505430168,Bulgaria,"[43.0, 25.0]"
4420438,Burkina Faso,"[13.0, -2.0]"
2006413,Cambodia,"[13.0, 105.0]"
855758,Cameroon,"[6.0, 12.0]"
521446706,Canada,"[60.0, -95.0]"
4935,Central African Republic,"[7.0, 21.0]"
36192061,Chile,"[-30.0, -71.0]"
11632824,China,"[35.0, 105.0]"
2911097,Colombia,"[4.0, -72.0]"
2940417,Costa Rica,"[10.0, -84.0]"
137766,Croatia,"[45.16666666, 15.5]"
716415,Cuba,"[21.5, -80.0]"
528902,Cyprus,"[35.0, 33.0]"
2259141,Czechia,"[49.75, 15.5]"
71369,DR Congo,"[0.0, 25.0]"
19000945,Denmark,"[56.0, 10.0]"
91797,Dominica,"[15.41666666, -61.33333333]"
5590841,Dominican Republic,"[19.0, -70.66666666]"
72090,Ecuador,"[-2.0, -77.5]"
16170435,Egypt,"[27.0, 30.0]"
7628,Estonia,"[59.0, 26.0]"
146828,Eswatini,"[-26.5, 31.5]"
9310,Ethiopia,"[8.0, 38.0]"
631609,Finland,"[64.0, 26.0]"
162758945,France,"[46.0, 2.0]"
28,French Polynesia,"[-15.0, -140.0]"
73403,Gambia,"[13.46666666, -16.56666666]"
1460340,Georgia,"[42.0, 43.5]"
488592307,Germany,"[51.0, 9.0]"
30360,Ghana,"[8.0, -2.0]"
97215568,Greece,"[39.0, 22.0]"
4040,Guam,"[13.46666666, 144.78333333]"
600415,Guatemala,"[15.5, -90.25]"
3824,Guinea,"[11.0, -10.0]"
2054109,Guyana,"[5.0, -59.0]"
3490,Haiti,"[19.0, -72.41666666]"
4869055,Honduras,"[15.0, -86.5]"
133,Hong Kong,"[22.267, 114.188]"
44366794,Hungary,"[47.0, 20.0]"
23782,Iceland,"[65.0, -18.0]"
16830873,India,"[20.0, 77.0]"
52138,Indonesia,"[-5.0, 120.0]"
70156,Iran,"[32.0, 53.0]"
294846,Ireland,"[53.0, -8.0]"
62508333,Israel,"[31.47, 35.13]"
358571859,Italy,"[42.83333333, 12.83333333]"
1407475,Ivory Coast,"[8.0, -5.0]"
177413,Jamaica,"[18.25, -77.5]"
6708,Japan,"[36.0, 138.0]"
319783,Jordan,"[31.0, 36.0]"
1244805,Kazakhstan,"[48.0, 68.0]"
5841660,Kenya,"[1.0, 38.0]"
11185,Kosovo,"[42.666667, 21.166667]"
213604,Laos,"[18.0, 105.0]"
51683,Lebanon,"[33.83333333, 35.83333333]"
52136010,Lithuania,"[56.0, 24.0]"
49167152,Luxembourg,"[49.75, 6.16666666]"
14400,Macau,"[22.16666666, 113.55]"
458355,Macedonia,"[41.83333333, 22.0]"
5414171,Madagascar,"[-20.0, 47.0]"
78569,Malawi,"[-13.5, 34.0]"
13772,Malaysia,"[2.5, 112.5]"
91212,Mali,"[17.0, -4.0]"
629913,Malta,"[35.83333333, 14.58333333]"
529914,Mauritania,"[20.0, -12.0]"
50994,Mauritius,"[-20.28333333, 57.55]"
17943443,Mexico,"[23.0, -102.0]"
6860634,Moldova,"[47.0, 29.0]"
45858,Montenegro,"[42.5, 19.3]"
537061011,Morocco,"[32.0, -5.0]"
7417,Mozambique,"[-18.25, 35.0]"
108,Myanmar,"[22.0, 98.0]"
358067,Namibia,"[-22.0, 17.0]"
1125,Nauru,"[-0.53333333, 166.91666666]"
634906695,Netherlands,"[52.5, 5.75]"
