cca2,,cca2,Name,Mass,dist_to_fr
AE,0,AE,"anis, badiane, coriander, cumin, fennel and genievre",2956,26105
AE,1,AE,green bean,75,5221
AE,2,AE,sugar beet,50,5221
AE,3,AE,unshelled rice,4,5221
AF,9,AF,orange,492462,38206
AF,14,AF,pomelo and grapefruit,91225,32748
AF,15,AF,table grapes,31834,60038
AF,8,AF,lemon and lime,22497,21832
AF,12,AF,pear,16218,38206
AL,30,AL,other fruit vegetables n.e.c.,120752,9318
AL,16,AL,"anis, badiane, coriander, cumin, fennel and genievre",83263,17083
AL,35,AL,tomato,62894,3106
AL,25,AL,green bean,6250,6212
AL,34,AL,table grapes,5735,1553
AM,36,AM,wheat,4425,7048
AR,63,AR,sunflower seed,117963736,309680
AR,52,AR,lemon and lime,17162313,154840
AR,57,AR,pear,5685523,176960
AR,55,AR,orange,5114402,154840
AR,38,AR,apple,2488996,77420
AS,70,AS,pear,410915,16414
AS,69,AS,orange,108303,114898
AS,71,AS,pomelo and grapefruit,26631,65656
AS,68,AS,lemon and lime,3116,82070
AS,67,AS,clementine,1275,16414
AT,104,AT,wheat,2705285,15822
AT,81,AT,corn,2063085,27249
AT,97,AT,soy bean,1332847,17580
AT,74,AT,apple,747382,6153
AT,85,AT,durum wheat,240635,7911
AU,121,AU,rapeseed,196850095,91458
AU,117,AU,onion,7736265,121944
AU,110,AU,carrot and turnip,911081,182916
AU,109,AU,beet seed and forage plant,457417,320103
AU,118,AU,orange,176800,15243
AZ,125,AZ,hazelnut,243005,40623
AZ,127,AZ,pear,178104,3693
AZ,126,AZ,orange,4800,7386
AZ,128,AZ,pomelo and grapefruit,1200,3693
AZ,124,AZ,eggplant,130,3693
BA,130,BA,chestnut,42370,1278
BA,129,BA,"anis, badiane, coriander, cumin, fennel and genievre",1500,2556
BD,136,BD,other fruit vegetables n.e.c.,113377,215487
BD,137,BD,pepper and green pepper,5900,47886
BD,135,BD,lemon and lime,4525,87791
BD,133,BD,green bean,4180,31924
BD,132,BD,cucumber and pickle,2930,71829
BE,182,BE,potato,260830808,26736
BE,149,BE,carrot and turnip,72995812,6684
BE,197,BE,wheat,67024660,21723
BE,194,BE,tomato,34158958,6684
BE,141,BE,apple,31699739,13368
BF,202,BF,soy bean,3657055,29416
BF,199,BF,green bean,384559,14708
BF,198,BF,eggplant,225863,33093
BF,200,BF,other fruit vegetables n.e.c.,151339,44124
BF,203,BF,spinach,1340,3677
