Name,,Name,Country,Mass
"anis, badiane, coriander, cumin, fennel and genievre",38,"anis, badiane, coriander, cumin, fennel and genievre",Turkey,551727
"anis, badiane, coriander, cumin, fennel and genievre",37,"anis, badiane, coriander, cumin, fennel and genievre",Syria,478666
"anis, badiane, coriander, cumin, fennel and genievre",24,"anis, badiane, coriander, cumin, fennel and genievre",Morocco,332526
"anis, badiane, coriander, cumin, fennel and genievre",11,"anis, badiane, coriander, cumin, fennel and genievre",Egypt,325067
"anis, badiane, coriander, cumin, fennel and genievre",39,"anis, badiane, coriander, cumin, fennel and genievre",Ukraine,269141
apple,73,apple,Spain,34919712
apple,62,apple,Italy,32134527
apple,50,apple,Belgium,31699739
apple,52,apple,Chile,14760865
apple,66,apple,Netherlands,9328924
apricot,100,apricot,Spain,17134330
apricot,89,apricot,Germany,382591
apricot,92,apricot,Italy,279205
apricot,101,apricot,Tunisia,235437
apricot,90,apricot,Hungary,52820
artichoke,112,artichoke,Spain,10575648
artichoke,108,artichoke,Italy,4031129
artichoke,115,artichoke,United Kingdom,810611
artichoke,109,artichoke,Morocco,157519
artichoke,114,artichoke,Tunisia,86704
asparagus,137,asparagus,Spain,8449846
asparagus,131,asparagus,Netherlands,1269352
asparagus,132,asparagus,Peru,1188625
asparagus,121,asparagus,Germany,1134431
asparagus,124,asparagus,Italy,966546
barley,165,barley,United Kingdom,18302359
barley,155,barley,Luxembourg,13044048
barley,150,barley,Germany,10638064
barley,156,barley,Netherlands,10588470
barley,162,barley,Spain,9143042
beet seed and forage plant,189,beet seed and forage plant,Netherlands,14157956
beet seed and forage plant,178,beet seed and forage plant,Denmark,9600176
beet seed and forage plant,183,beet seed and forage plant,Italy,7119545
beet seed and forage plant,179,beet seed and forage plant,Germany,5348433
beet seed and forage plant,198,beet seed and forage plant,Spain,2938182
berries,235,berries,Spain,5307973
berries,228,berries,Netherlands,786392
berries,219,berries,Germany,350973
berries,214,berries,Chile,347374
berries,230,berries,Poland,333840
cabbage,258,cabbage,Netherlands,14418145
cabbage,244,cabbage,Belgium,12975430
cabbage,265,cabbage,Spain,10094763
cabbage,251,cabbage,Germany,3854989
cabbage,260,cabbage,Portugal,1674798
carrot and turnip,277,carrot and turnip,Belgium,72995812
carrot and turnip,300,carrot and turnip,Spain,25716210
