,Importation_Month,Name,Name_fr,Month_mass,is_right_season,All_year_mass,Higher_import,Index
0,1,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",1350298,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.3252602828741762
1,12,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",30104561,True,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",True,0.5702695285672877
2,11,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",55753316,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",True,0.23280027107270387
3,10,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",2329699,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.655871739940829
4,8,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",21879129,True,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",True,0.2547563319839497
5,7,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",496089,True,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.37614414802514556
6,9,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",17596616,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.5071079159298149
7,5,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",1426274,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.503956301067762
8,4,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",1642565,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.7298686818260395
9,3,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",1441475,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.5536315036394736
10,2,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",6590854,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.42509315981725565
11,6,durum wheat,"['ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur', 'ble dur']",10571619,False,"[1350298, 30104561, 55753316, 2329699, 21879129, 496089, 17596616, 1426274, 1642565, 1441475, 6590854, 10571619]",False,0.5891605266131111
12,8,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",114889549,True,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",True,0.6011505864259242
13,12,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",89381717,True,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.2709997613880009
14,11,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",95531658,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.34912281354420466
15,10,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",199974779,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",True,0.27211809965578815
16,9,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",113207059,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",True,0.14463110537220963
17,7,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",25035513,True,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.47771667088993935
18,3,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",23387214,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.635439405501959
19,5,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",40213057,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.32251650741102084
20,4,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",35624026,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.5146115461441321
21,2,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",21227219,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.5064348643402862
22,1,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",12284314,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.6602654235389422
23,6,wheat,"['ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble', 'ble']",29549187,False,"[114889549, 89381717, 95531658, 199974779, 113207059, 25035513, 23387214, 40213057, 35624026, 21227219, 12284314, 29549187]",False,0.5139012346542052
24,8,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",34482190,True,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.3406566559592686
25,12,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",72464328,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",True,0.08021541063952502
26,11,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",77577590,True,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",True,0.0840655783740144
